filename,true_label,source_original_pred,source_adv_pred,source_attack_success,tf2torch_inception_v3_pred,tf2torch_inception_v3_fooled,tf2torch_inception_v4_pred,tf2torch_inception_v4_fooled,tf2torch_resnet_v2_50_pred,tf2torch_resnet_v2_50_fooled,tf2torch_resnet_v2_101_pred,tf2torch_resnet_v2_101_fooled,tf2torch_resnet_v2_152_pred,tf2torch_resnet_v2_152_fooled,tf2torch_inc_res_v2_pred,tf2torch_inc_res_v2_fooled,tf2torch_ens3_adv_inc_v3_pred,tf2torch_ens3_adv_inc_v3_fooled,tf2torch_ens4_adv_inc_v3_pred,tf2torch_ens4_adv_inc_v3_fooled,tf2torch_ens_adv_inc_res_v2_pred,tf2torch_ens_adv_inc_res_v2_fooled
ILSVRC2012_val_00018317.png,1,1,516,True,516,True,516,True,516,True,516,True,516,True,516,True,516,True,516,True,516,True
ILSVRC2012_val_00045761.png,2,2,905,True,905,True,905,True,905,True,905,True,905,True,905,True,905,True,905,True,905,True
ILSVRC2012_val_00020011.png,3,3,787,True,787,True,787,True,742,True,787,True,787,True,787,True,749,True,787,True,787,True
ILSVRC2012_val_00026001.png,4,4,432,True,432,True,432,True,670,True,771,True,751,True,475,True,285,True,432,True,432,True
ILSVRC2012_val_00035367.png,5,5,798,True,798,True,798,True,798,True,255,True,798,True,798,True,798,True,798,True,798,True
ILSVRC2012_val_00017440.png,6,6,652,True,652,True,652,True,652,True,652,True,652,True,652,True,652,True,652,True,557,True
ILSVRC2012_val_00026908.png,7,7,698,True,432,True,698,True,642,True,918,True,612,True,612,True,670,True,612,True,852,True
ILSVRC2012_val_00028221.png,8,8,751,True,751,True,751,True,751,True,751,True,751,True,751,True,751,True,751,True,751,True
ILSVRC2012_val_00026271.png,9,9,816,True,980,True,905,True,816,True,707,True,816,True,816,True,704,True,707,True,563,True
ILSVRC2012_val_00049090.png,10,10,905,True,905,True,905,True,592,True,905,True,905,True,609,True,465,True,905,True,905,True
ILSVRC2012_val_00037748.png,11,11,905,True,905,True,905,True,905,True,905,True,905,True,905,True,905,True,905,True,905,True
ILSVRC2012_val_00016252.png,12,12,905,True,905,True,905,True,905,True,905,True,905,True,905,True,905,True,905,True,905,True
ILSVRC2012_val_00020495.png,13,13,592,True,592,True,592,True,592,True,592,True,886,True,592,True,110,True,701,True,701,True
ILSVRC2012_val_00003116.png,14,14,905,True,980,True,905,True,905,True,905,True,974,True,905,True,971,True,905,True,971,True
ILSVRC2012_val_00027811.png,15,15,139,True,384,True,384,True,18,True,139,True,341,True,139,True,384,True,18,True,18,True
ILSVRC2012_val_00034482.png,16,16,973,True,83,True,776,True,973,True,973,True,501,True,973,True,13,True,15,True,15,True
ILSVRC2012_val_00042600.png,17,17,89,True,89,True,85,True,85,True,89,True,89,True,89,True,89,True,93,True,96,True
ILSVRC2012_val_00034144.png,18,18,751,True,751,True,751,True,751,True,997,True,110,True,751,True,612,True,600,True,293,True
ILSVRC2012_val_00041206.png,19,19,13,True,13,True,13,True,13,True,13,True,13,True,13,True,13,True,13,True,13,True
ILSVRC2012_val_00017017.png,20,20,751,True,751,True,751,True,751,True,751,True,751,True,751,True,530,True,515,True,20,False
ILSVRC2012_val_00024059.png,21,21,905,True,905,True,905,True,905,True,905,True,600,True,905,True,341,True,341,True,905,True
ILSVRC2012_val_00013393.png,22,22,24,True,24,True,24,True,24,True,24,True,24,True,24,True,24,True,24,True,24,True
ILSVRC2012_val_00040474.png,23,23,922,True,922,True,922,True,377,True,922,True,922,True,922,True,44,True,377,True,563,True
ILSVRC2012_val_00022165.png,24,24,185,True,203,True,176,True,220,True,220,True,227,True,185,True,227,True,227,True,176,True
ILSVRC2012_val_00000318.png,25,25,899,True,465,True,899,True,856,True,563,True,563,True,491,True,459,True,856,True,563,True
ILSVRC2012_val_00012588.png,26,26,905,True,282,True,25,True,905,True,905,True,905,True,905,True,905,True,339,True,25,True
ILSVRC2012_val_00007561.png,27,27,729,True,729,True,729,True,729,True,729,True,729,True,729,True,729,True,729,True,729,True
ILSVRC2012_val_00017185.png,28,28,751,True,48,True,751,True,48,True,886,True,68,True,886,True,117,True,48,True,48,True
ILSVRC2012_val_00027931.png,29,29,592,True,592,True,592,True,592,True,592,True,592,True,592,True,592,True,592,True,328,True
ILSVRC2012_val_00013940.png,30,30,751,True,751,True,751,True,751,True,751,True,751,True,751,True,751,True,751,True,751,True
ILSVRC2012_val_00028352.png,31,31,751,True,886,True,798,True,341,True,341,True,569,True,886,True,44,True,415,True,31,False
ILSVRC2012_val_00043303.png,32,32,464,True,464,True,470,True,464,True,470,True,828,True,464,True,464,True,464,True,464,True
ILSVRC2012_val_00011303.png,33,33,751,True,751,True,51,True,110,True,110,True,51,True,251,True,25,True,134,True,268,True
ILSVRC2012_val_00041641.png,34,34,592,True,751,True,592,True,110,True,435,True,110,True,886,True,886,True,592,True,592,True
ILSVRC2012_val_00044755.png,35,35,905,True,905,True,905,True,905,True,905,True,905,True,905,True,905,True,905,True,905,True
ILSVRC2012_val_00013394.png,36,36,751,True,751,True,798,True,751,True,751,True,751,True,751,True,751,True,729,True,751,True
ILSVRC2012_val_00034770.png,37,37,621,True,621,True,621,True,621,True,621,True,621,True,621,True,621,True,621,True,621,True
ILSVRC2012_val_00027858.png,38,38,886,True,751,True,592,True,592,True,110,True,886,True,751,True,888,True,751,True,38,False
ILSVRC2012_val_00026793.png,39,39,798,True,798,True,798,True,798,True,798,True,798,True,798,True,798,True,798,True,798,True
ILSVRC2012_val_00033058.png,40,40,855,True,855,True,855,True,855,True,855,True,855,True,855,True,855,True,855,True,855,True
ILSVRC2012_val_00044996.png,41,41,729,True,729,True,729,True,729,True,729,True,729,True,729,True,729,True,729,True,729,True
ILSVRC2012_val_00042602.png,42,42,749,True,894,True,749,True,435,True,742,True,751,True,435,True,749,True,435,True,710,True
ILSVRC2012_val_00022247.png,43,43,110,True,110,True,88,True,110,True,110,True,110,True,110,True,110,True,110,True,110,True
ILSVRC2012_val_00044980.png,44,44,88,True,698,True,88,True,88,True,670,True,690,True,88,True,670,True,670,True,515,True
ILSVRC2012_val_00021786.png,45,45,751,True,751,True,751,True,751,True,751,True,751,True,751,True,751,True,751,True,751,True
ILSVRC2012_val_00047675.png,46,46,905,True,739,True,905,True,51,True,905,True,905,True,905,True,600,True,905,True,905,True
ILSVRC2012_val_00039203.png,47,47,48,True,48,True,48,True,48,True,48,True,48,True,48,True,48,True,48,True,48,True
ILSVRC2012_val_00017490.png,48,48,609,True,609,True,894,True,557,True,70,True,773,True,491,True,70,True,749,True,70,True
ILSVRC2012_val_00019652.png,49,49,466,True,466,True,982,True,462,True,458,True,907,True,462,True,784,True,982,True,709,True
ILSVRC2012_val_00035623.png,50,50,905,True,905,True,905,True,905,True,905,True,905,True,905,True,905,True,905,True,905,True
ILSVRC2012_val_00018666.png,51,51,612,True,612,True,612,True,612,True,612,True,612,True,886,True,612,True,751,True,612,True
ILSVRC2012_val_00027193.png,52,52,852,True,852,True,852,True,899,True,783,True,852,True,519,True,616,True,852,True,899,True
ILSVRC2012_val_00046257.png,53,53,905,True,905,True,905,True,117,True,905,True,905,True,905,True,905,True,905,True,905,True
ILSVRC2012_val_00031596.png,54,54,670,True,670,True,670,True,670,True,670,True,343,True,670,True,365,True,365,True,670,True
ILSVRC2012_val_00039732.png,55,55,751,True,530,True,751,True,751,True,751,True,751,True,751,True,751,True,751,True,798,True
ILSVRC2012_val_00030719.png,56,56,515,True,557,True,795,True,637,True,515,True,355,True,515,True,515,True,477,True,886,True
ILSVRC2012_val_00005676.png,57,57,412,True,444,True,412,True,444,True,592,True,592,True,592,True,444,True,444,True,444,True
ILSVRC2012_val_00006699.png,58,58,670,True,670,True,670,True,670,True,670,True,670,True,670,True,670,True,884,True,463,True
ILSVRC2012_val_00034970.png,59,59,52,True,52,True,670,True,460,True,477,True,477,True,644,True,460,True,477,True,460,True
ILSVRC2012_val_00002439.png,60,60,790,True,790,True,79,True,585,True,770,True,770,True,594,True,547,True,601,True,770,True
