filename,label
adv_ILSVRC2012_val_00018317.png,0
adv_ILSVRC2012_val_00045761.png,1
adv_ILSVRC2012_val_00020011.png,2
adv_ILSVRC2012_val_00026001.png,3
adv_ILSVRC2012_val_00035367.png,4
adv_ILSVRC2012_val_00017440.png,5
adv_ILSVRC2012_val_00026908.png,6
adv_ILSVRC2012_val_00028221.png,7
adv_ILSVRC2012_val_00026271.png,8
adv_ILSVRC2012_val_00049090.png,9
adv_ILSVRC2012_val_00037748.png,10
adv_ILSVRC2012_val_00016252.png,11
adv_ILSVRC2012_val_00020495.png,12
adv_ILSVRC2012_val_00003116.png,13
adv_ILSVRC2012_val_00027811.png,14
adv_ILSVRC2012_val_00034482.png,15
adv_ILSVRC2012_val_00042600.png,16
adv_ILSVRC2012_val_00034144.png,17
adv_ILSVRC2012_val_00041206.png,18
adv_ILSVRC2012_val_00017017.png,19
adv_ILSVRC2012_val_00024059.png,20
adv_ILSVRC2012_val_00013393.png,21
adv_ILSVRC2012_val_00040474.png,22
adv_ILSVRC2012_val_00022165.png,23
adv_ILSVRC2012_val_00000318.png,24
adv_ILSVRC2012_val_00012588.png,25
adv_ILSVRC2012_val_00007561.png,26
adv_ILSVRC2012_val_00017185.png,27
adv_ILSVRC2012_val_00027931.png,28
adv_ILSVRC2012_val_00013940.png,29
adv_ILSVRC2012_val_00028352.png,30
adv_ILSVRC2012_val_00043303.png,31
adv_ILSVRC2012_val_00011303.png,32
adv_ILSVRC2012_val_00041641.png,33
adv_ILSVRC2012_val_00044755.png,34
adv_ILSVRC2012_val_00013394.png,35
adv_ILSVRC2012_val_00034770.png,36
adv_ILSVRC2012_val_00027858.png,37
adv_ILSVRC2012_val_00026793.png,38
adv_ILSVRC2012_val_00033058.png,39
adv_ILSVRC2012_val_00044996.png,40
adv_ILSVRC2012_val_00042602.png,41
adv_ILSVRC2012_val_00022247.png,42
adv_ILSVRC2012_val_00044980.png,43
adv_ILSVRC2012_val_00021786.png,44
adv_ILSVRC2012_val_00047675.png,45
adv_ILSVRC2012_val_00039203.png,46
